Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-07-01;1;15829,588;9879,138;17,513;120,963;4710,000;347,550;912,425
2020-07-01;2;15237,525;9724,738;-8,300;121,200;4906,125;-277,313;897,413
2020-07-01;3;14918,350;9595,788;-8,400;120,913;4850,325;-416,625;898,813
2020-07-01;4;14809,800;9788,263;-158,588;121,125;4892,388;-610,125;898,688
2020-07-01;5;14421,913;10149,738;-653,150;121,025;4947,450;-918,788;899,525
2020-07-01;6;14831,125;10398,088;-667,513;120,488;4945,825;-725,363;884,825
2020-07-01;7;17090,113;11375,213;-194,250;120,788;4894,800;211,775;805,200
2020-07-01;8;19193,200;12930,438;111,100;121,100;4758,075;290,938;1219,200
2020-07-01;9;20347,325;13794,725;218,488;120,788;5097,888;182,488;1283,863
2020-07-01;10;20946,000;13939,388;118,313;120,688;5595,650;136,325;1282,075
2020-07-01;11;21043,763;13815,013;146,725;119,750;6115,075;-168,863;1285,700
2020-07-01;12;21453,088;13871,838;150,113;120,900;6334,063;-41,375;1286,338
2020-07-01;13;21688,475;13992,925;149,800;120,263;6309,638;99,250;1287,438
2020-07-01;14;21621,225;14166,075;113,875;119,888;6019,025;152,913;1284,225
2020-07-01;15;21260,400;14112,663;109,175;120,788;5694,675;154,938;1282,850
2020-07-01;16;21304,088;14351,138;120,850;120,125;5461,325;195,238;1287,013
2020-07-01;17;20926,988;14256,388;298,063;120,163;5068,075;328,125;1275,000
2020-07-01;18;20605,538;14248,263;-2,813;120,463;4621,913;459,250;1278,800
2020-07-01;19;20352,388;14560,963;121,025;120,363;3940,463;569,713;1285,450
2020-07-01;20;20551,763;14529,888;129,050;120,550;3587,900;1151,800;1287,750
2020-07-01;21;20275,013;14138,963;110,113;75,162;3507,488;1345,788;1284,563
2020-07-01;22;20098,788;13655,413;28,550;0,000;3678,400;1485,238;1285,888
2020-07-01;23;19007,375;12460,163;-1,525;0,000;3840,763;1430,675;1285,650
2020-07-01;24;17488,400;10767,400;-5,163;0,000;4295,350;1199,825;1239,988
2020-07-02;1;16364,088;10378,888;-4,925;0,000;4672,713;848,375;459,063
2020-07-02;2;15675,275;10564,925;-57,838;0,000;4759,038;198,388;214,900
2020-07-02;3;15257,800;10690,288;-230,938;0,000;4568,188;21,788;204,963
2020-07-02;4;15185,488;11087,263;-460,175;0,000;4320,800;36,763;205,538
2020-07-02;5;14922,763;10887,963;-483,625;0,000;4219,175;83,338;217,850
2020-07-02;6;15138,550;10616,375;-465,175;0,000;4224,700;90,313;677,163
2020-07-02;7;17418,700;11668,800;-85,475;0,000;4435,625;779,100;618,975
2020-07-02;8;19586,688;13582,163;-7,450;0,000;4719,088;532,338;761,563
2020-07-02;9;20777,688;14122,413;98,538;0,000;5097,438;486,825;1074,475
2020-07-02;10;21286,538;13940,113;131,675;0,000;5321,250;874,300;1153,588
2020-07-02;11;21484,625;13473,563;45,875;0,000;5523,438;1215,088;1276,925
2020-07-02;12;21807,813;13751,950;32,463;0,000;5643,213;1122,513;1287,613
2020-07-02;13;22019,163;14303,225;14,925;0,000;5621,875;816,488;1287,400
2020-07-02;14;22039,700;14262,563;-4,638;0,000;5573,588;924,750;1285,613
2020-07-02;15;21651,900;14261,313;-6,200;0,000;5318,938;794,063;1285,388
2020-07-02;16;21526,375;14587,488;-6,463;0,000;4872,175;784,350;1286,763
2020-07-02;17;21117,988;14606,225;99,988;0,000;4418,775;819,163;1281,788
2020-07-02;18;20683,750;14601,125;115,300;0,000;4012,788;786,363;1284,550
2020-07-02;19;20392,338;14227,088;107,125;0,000;3590,213;1295,838;1285,725
2020-07-02;20;20548,963;14496,938;43,525;0,000;3380,763;1468,463;1207,613
2020-07-02;21;20438,163;14484,250;33,950;0,000;3302,275;1385,088;1277,263
2020-07-02;22;20155,638;14139,600;16,588;0,000;3318,363;1420,625;1289,825
2020-07-02;23;19175,413;13087,888;-3,625;0,000;3212,125;1612,163;1284,413
2020-07-02;24;17792,350;11658,350;-5,925;0,000;3203,388;1672,050;1279,238
2020-07-03;1;16455,713;10787,513;-8,775;0,000;3132,638;1432,513;1114,613
2020-07-03;2;15742,463;10460,100;-8,688;0,000;3142,763;1095,875;1051,563
2020-07-03;3;15433,563;10340,088;-8,800;0,000;3188,763;823,513;1091,175
2020-07-03;4;15254,813;10381,875;-9,813;0,000;3238,913;632,613;1012,525
2020-07-03;5;14956,088;10689,263;-28,513;0,000;3350,188;-33,888;979,700
2020-07-03;6;15309,600;10801,763;-142,300;0,000;3385,900;523,675;744,350
2020-07-03;7;17450,113;12136,475;-24,163;0,000;3464,725;959,038;911,713
2020-07-03;8;19439,213;13510,363;-6,025;0,000;3721,688;1252,825;957,975
2020-07-03;9;20631,038;14196,938;-6,750;0,000;3850,838;1620,613;970,138
2020-07-03;10;21262,425;14593,775;90,988;0,000;4023,950;1666,488;983,888
2020-07-03;11;21282,825;14771,900;123,188;0,000;4184,325;1423,875;896,650
2020-07-03;12;21770,375;15391,063;273,438;0,000;4297,650;1184,938;895,975
2020-07-03;13;21942,988;15687,950;238,413;0,000;4498,000;821,213;947,425
2020-07-03;14;21616,138;15424,688;269,013;0,000;4563,875;727,600;912,875
2020-07-03;15;21140,925;14738,513;41,825;0,000;4616,513;809,075;984,350
2020-07-03;16;20900,200;14591,638;-5,213;0,000;4555,250;773,263;988,313
2020-07-03;17;20561,513;14367,025;-6,025;0,000;4430,025;786,838;989,700
2020-07-03;18;20197,900;13989,325;-6,175;0,000;4164,563;1056,725;999,613
2020-07-03;19;19876,563;13519,275;91,288;0,000;3764,200;1422,113;1182,038
2020-07-03;20;19881,175;13624,225;122,975;0,000;3515,950;1484,188;1264,338
2020-07-03;21;19725,788;13670,863;125,538;0,000;3342,650;1433,900;1291,400
2020-07-03;22;19401,863;13292,138;10,475;0,000;3409,388;1419,463;1291,913
2020-07-03;23;18611,925;12408,563;-5,950;0,000;3437,225;1487,750;1291,100
2020-07-03;24;17272,325;10897,763;-7,163;0,000;3453,863;1649,600;1288,000
2020-07-04;1;16055,413;10044,688;-9,000;0,000;3598,263;1201,600;1229,713
2020-07-04;2;15245,213;9511,775;-10,013;0,000;3756,825;1021,963;978,413
2020-07-04;3;14789,463;9404,000;-9,088;0,000;3863,913;833,813;706,575
2020-07-04;4;14496,625;9529,850;-9,575;0,000;3950,563;462,950;571,325
2020-07-04;5;13867,338;9256,813;-9,488;0,000;4084,588;-42,150;589,900
2020-07-04;6;13767,225;9110,088;-9,175;0,000;4180,100;18,863;476,763
2020-07-04;7;14774,300;9544,975;-6,550;0,000;4201,213;486,550;552,038
2020-07-04;8;16147,175;9944,175;250,588;0,000;4297,838;845,688;1068,500
2020-07-04;9;17423,575;10671,050;252,138;0,000;4703,913;782,225;1285,188
2020-07-04;10;18173,925;10802,700;96,650;0,000;5323,063;788,950;1276,150
2020-07-04;11;18585,038;10419,663;126,600;0,000;6181,200;859,038;1133,238
2020-07-04;12;18750,800;10060,625;139,413;0,000;6619,288;967,738;1110,113
2020-07-04;13;18404,625;9667,338;193,138;0,000;6484,313;1156,113;1110,813
2020-07-04;14;18136,600;9429,213;258,550;0,000;6172,588;1440,163;1111,825
2020-07-04;15;17480,163;9088,313;3,825;0,000;5786,650;1508,588;1110,275
2020-07-04;16;17160,075;8982,750;17,638;0,000;5579,225;1502,175;1107,725
2020-07-04;17;16823,888;9201,600;327,338;0,000;5280,400;1241,113;1113,063
2020-07-04;18;16761,300;9426,300;320,363;0,000;4956,163;1207,500;1180,725
2020-07-04;19;16789,363;9786,238;448,838;0,000;4628,725;1196,738;1187,175
2020-07-04;20;16875,813;10317,650;495,750;0,000;4525,375;841,600;1198,213
