Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-02-01;1;17681,325;9202,313;-9,725;0,000;7724,275;314,688;450,288
2020-02-01;2;16974,150;8950,888;-12,838;0,000;7771,963;-14,538;280,575
2020-02-01;3;16588,813;8667,263;-133,538;0,000;7829,300;-25,363;261,238
2020-02-01;4;16474,163;8780,788;-321,463;0,000;7835,925;-90,975;268,275
2020-02-01;5;16400,125;8865,925;-337,325;0,000;7714,188;-150,025;299,638
2020-02-01;6;16575,100;8815,313;-410,625;0,000;7916,563;-28,825;280,475
2020-02-01;7;17486,588;8906,950;-454,038;0,000;8260,975;117,763;650,525
2020-02-01;8;18207,025;8917,588;-209,025;0,000;8590,813;191,975;706,225
2020-02-01;9;19214,300;8907,238;8,613;0,000;8862,613;715,313;740,925
2020-02-01;10;20237,588;9637,775;142,488;0,000;9095,988;770,113;744,850
2020-02-01;11;20543,313;10023,275;270,175;0,000;9066,300;712,875;749,613
2020-02-01;12;20568,625;10100,638;291,163;0,000;8998,875;728,413;746,750
2020-02-01;13;20421,725;10069,050;355,313;0,000;8796,313;817,775;746,075
2020-02-01;14;20287,863;10302,650;413,513;0,000;8486,538;769,038;741,613
2020-02-01;15;19734,488;10143,200;418,950;0,000;8178,038;676,100;741,313
2020-02-01;16;19598,625;10184,138;405,475;0,000;7982,463;705,750;730,388
2020-02-01;17;19986,713;10489,588;371,200;0,000;8008,175;751,788;743,200
2020-02-01;18;20866,175;11279,163;441,538;0,000;8140,525;705,400;744,525
2020-02-01;19;20679,988;10739,013;407,100;0,000;8367,100;832,325;746,500
2020-02-01;20;20417,150;10223,013;254,488;0,000;8582,150;869,563;746,263
2020-02-01;21;19737,838;9656,013;46,575;0,000;8867,288;503,963;721,125
2020-02-01;22;18619,500;8665,763;-9,400;0,000;9104,850;303,913;553,888
2020-02-01;23;17671,050;8239,888;-12,188;0,000;9181,325;-84,050;343,075
2020-02-01;24;16658,538;6988,925;-11,450;0,000;9351,313;69,500;263,675
2020-02-02;1;15597,813;6049,663;-11,800;0,000;9298,750;5,613;261,875
2020-02-02;2;15003,475;5788,988;-136,688;0,000;9186,950;-100,388;270,238
2020-02-02;3;14677,138;5488,013;-207,013;0,000;9337,375;-195,125;260,488
2020-02-02;4;14553,350;5398,338;-713,450;0,000;9565,113;42,513;263,638
2020-02-02;5;14439,025;5576,938;-1036,963;0,000;9609,513;37,238;255,588
2020-02-02;6;14621,575;6009,663;-1193,900;0,000;9594,713;-46,825;263,725
2020-02-02;7;15060,800;6437,738;-1149,563;0,000;9766,288;-244,763;258,588
2020-02-02;8;15241,313;6674,075;-731,563;0,000;9874,088;-818,575;250,613
2020-02-02;9;16013,663;6530,800;-106,500;0,000;9880,450;-545,563;260,738
2020-02-02;10;16844,325;7339,513;7,463;0,000;10062,863;-807,263;262,500
2020-02-02;11;17322,825;7389,063;201,275;0,000;10100,663;-417,875;258,763
2020-02-02;12;17644,613;8164,350;368,238;0,000;10064,775;-839,863;266,913
2020-02-02;13;17750,500;8164,150;450,438;0,000;9929,513;-613,888;284,850
2020-02-02;14;18023,425;8106,025;27,125;0,000;9807,750;-435,825;557,513
2020-02-02;15;17690,813;7875,063;-6,613;0,000;9388,225;-298,000;736,600
2020-02-02;16;17465,500;7784,188;-6,400;0,000;9017,625;-75,550;743,988
2020-02-02;17;17929,850;8159,988;46,850;0,000;8590,413;433,363;750,738
2020-02-02;18;19009,238;9298,725;72,275;0,000;8448,063;516,375;745,163
2020-02-02;19;19106,600;9297,188;89,063;0,000;8306,000;774,163;735,613
2020-02-02;20;19253,363;9658,175;230,475;0,000;8075,900;791,613;738,400
2020-02-02;21;18936,500;9811,775;243,363;0,000;7849,300;548,613;736,763
2020-02-02;22;18170,013;8898,575;65,288;0,000;7748,275;801,688;738,088
2020-02-02;23;17545,900;8367,013;-9,263;0,000;7630,600;832,325;733,925
2020-02-02;24;16555,975;7687,525;-9,488;0,000;7590,088;620,063;672,463
2020-02-03;1;15739,363;7936,788;-35,813;0,000;7562,175;71,800;208,538
2020-02-03;2;15360,575;8140,238;-535,188;0,000;7440,638;59,975;262,275
2020-02-03;3;15123,775;8524,238;-1052,825;0,000;7380,363;12,613;266,225
2020-02-03;4;15194,613;8687,825;-1054,763;0,000;7315,138;166,513;85,925
2020-02-03;5;15669,113;9214,963;-1026,063;0,000;7212,388;179,563;95,363
2020-02-03;6;16774,050;9925,100;-764,463;0,000;7234,188;34,125;359,400
2020-02-03;7;19958,413;11817,300;-45,313;0,000;7399,713;296,638;500,463
2020-02-03;8;22096,238;13481,413;-6,250;0,000;7424,250;487,600;706,800
2020-02-03;9;23147,638;14266,175;146,838;0,000;7421,088;755,363;718,050
2020-02-03;10;23479,488;14804,063;329,450;0,000;7241,438;728,238;718,550
2020-02-03;11;23424,363;14674,313;37,388;0,000;7228,738;819,363;718,488
