Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20200801;1;165,80;165,80;165,80;617,46;444,23
20200801;2;148,93;148,93;148,93;460,40;383,73
20200801;3;167,04;167,04;167,04;401,20;349,81
20200801;4;167,48;167,48;167,48;296,51;271,86
20200801;5;190,05;190,05;190,05;130,85;5,55
20200801;6;180,20;180,20;180,20;223,27;153,79
20200801;7;232,48;232,48;232,48;0,98;135,35
20200801;8;236,78;236,78;236,78;-369,56;-316,22
20200801;9;239,40;239,40;239,40;-291,27;-224,43
20200801;10;239,40;239,40;239,40;-314,28;-246,96
20200801;11;239,86;239,86;239,86;-449,70;-366,74
20200801;12;239,50;239,50;239,50;-417,52;-280,24
20200801;13;239,40;239,40;239,40;-252,06;-222,65
20200801;14;239,40;239,40;239,40;-8,72;28,39
20200801;15;231,19;231,19;231,19;262,00;347,33
20200801;16;236,78;236,78;236,78;-45,54;32,08
20200801;17;197,20;197,20;197,20;35,99;87,41
20200801;18;236,71;236,71;236,71;42,31;11,77
20200801;19;236,70;236,70;236,70;-185,43;-161,59
20200801;20;239,20;239,20;239,20;-424,97;-276,34
20200801;21;239,23;239,23;239,23;-590,95;-364,36
20200801;22;236,71;236,71;236,71;-176,03;-166,84
20200801;23;148,92;148,92;148,92;426,66;412,01
20200801;24;148,92;148,92;148,92;614,00;690,94
20200802;1;147,65;147,65;147,65;880,82;960,61
20200802;2;147,65;147,65;147,65;780,93;786,73
20200802;3;147,65;147,65;147,65;719,46;711,41
20200802;4;192,60;192,60;192,60;201,49;224,94
20200802;5;192,63;192,63;192,63;25,55;116,18
20200802;6;192,62;192,62;192,62;98,72;313,64
20200802;7;147,65;147,65;147,65;357,35;452,93
20200802;8;147,65;147,65;147,65;513,29;493,76
20200802;9;147,65;147,65;147,65;414,84;408,27
20200802;10;147,65;147,65;147,65;564,78;551,22
20200802;11;147,65;147,65;147,65;531,02;564,87
20200802;12;147,65;147,65;147,65;637,49;657,23
20200802;13;147,65;147,65;147,65;417,11;398,85
20200802;14;132,97;132,97;132,97;307,19;319,26
20200802;15;147,65;147,65;147,65;132,54;170,73
20200802;16;192,62;192,62;192,62;-135,97;-165,82
20200802;17;192,67;192,67;192,67;-180,32;-198,89
20200802;18;239,37;239,37;239,37;-363,44;-344,15
20200802;19;233,32;233,32;233,32;-241,73;-222,71
20200802;20;239,42;239,42;239,42;-474,06;-426,82
20200802;21;239,46;239,46;239,46;-677,22;-686,90
20200802;22;239,45;239,45;239,45;-567,52;-501,31
20200802;23;233,32;233,32;233,32;-402,69;-473,14
20200802;24;233,27;233,27;233,27;-212,37;-131,68
20200803;1;193,31;193,31;193,31;1036,30;1032,35
20200803;2;198,19;198,19;198,19;670,76;664,22
20200803;3;232,08;232,08;232,08;387,18;236,41
20200803;4;197,95;197,95;197,95;436,08;248,86
20200803;5;197,95;197,95;197,95;437,08;234,68
20200803;6;234,07;234,07;234,07;97,63;333,65
20200803;7;246,98;246,98;246,98;-160,65;14,53
20200803;8;270,37;270,37;270,37;282,86;457,53
20200803;9;241,80;241,80;241,80;290,73;248,16
20200803;10;270,46;270,46;270,46;94,16;137,86
20200803;11;276,89;276,89;276,89;-139,50;-144,81
20200803;12;294,77;294,77;294,77;-261,01;-227,04
20200803;13;299,00;299,00;299,00;-400,40;-334,91
20200803;14;289,91;289,91;289,91;-266,54;-250,51
20200803;15;276,89;276,89;276,89;-135,09;-106,66
20200803;16;282,39;282,39;282,39;-234,91;-141,19
20200803;17;279,91;279,91;279,91;-105,36;-86,71
20200803;18;276,89;276,89;276,89;130,67;201,04
20200803;19;270,37;270,37;270,37;331,82;346,38
20200803;20;271,49;271,49;271,49;319,12;388,64
20200803;21;276,89;276,89;276,89;54,99;270,18
20200803;22;198,19;198,19;198,19;486,49;651,38
20200803;23;241,46;241,46;241,46;323,52;248,54
20200803;24;232,08;232,08;232,08;223,98;68,93
20200804;1;196,35;196,35;196,35;-107,56;-74,96
20200804;2;193,07;193,07;193,07;-6,72;-242,03
20200804;3;193,10;193,10;193,10;-100,56;-227,63
20200804;4;196,97;196,97;196,97;-9,42;49,51
20200804;5;196,97;196,97;196,97;27,48;-18,59
20200804;6;193,06;193,06;193,06;54,54;20,72
20200804;7;220,00;220,00;220,00;-16,81;-75,94
20200804;8;266,04;266,04;266,04;-46,33;32,57
20200804;9;266,10;266,10;266,10;-126,77;-157,98
20200804;10;268,67;268,67;268,67;-42,85;-105,70
20200804;11;279,89;279,89;279,89;-162,74;-247,35
20200804;12;295,46;295,46;295,46;-139,07;-54,16
20200804;13;279,89;279,89;279,89;77,05;112,53
20200804;14;268,69;268,69;268,69;149,56;182,03
20200804;15;266,09;266,09;266,09;399,88;319,76
20200804;16;268,60;268,60;268,60;308,81;244,89
20200804;17;266,10;266,10;266,10;210,04;163,37
20200804;18;266,08;266,08;266,08;85,09;88,14
20200804;19;266,03;266,03;266,03;180,90;226,69
20200804;20;268,62;268,62;268,62;153,39;252,51
20200804;21;268,63;268,63;268,63;102,83;162,81
20200804;22;266,03;266,03;266,03;365,24;346,14
20200804;23;235,52;235,52;235,52;197,44;184,05
20200804;24;205,78;205,78;205,78;560,76;481,51
20200805;1;196,44;196,44;196,44;36,00;-69,40
20200805;2;195,04;195,04;195,04;17,56;-80,58
20200805;3;193,75;193,75;193,75;139,40;45,38
20200805;4;193,48;193,48;193,48;334,06;204,65
20200805;5;193,50;193,50;193,50;204,22;-48,92
20200805;6;193,47;193,47;193,47;144,79;254,15
20200805;7;210,63;210,63;210,63;197,12;276,29
20200805;8;197,06;197,06;197,06;417,25;501,13
20200805;9;268,75;268,75;268,75;228,46;335,83
20200805;10;275,91;275,91;275,91;-254,86;-11,54
20200805;11;271,42;271,42;271,42;-125,56;145,08
20200805;12;297,40;297,40;297,40;-46,87;239,71
20200805;13;287,89;287,89;287,89;-90,92;253,03
20200805;14;267,91;267,91;267,91;203,00;401,69
20200805;15;279,89;279,89;279,89;302,94;475,14
20200805;16;273,91;273,91;273,91;283,27;386,52
20200805;17;277,65;277,65;277,65;303,74;472,86
20200805;18;271,37;271,37;271,37;153,75;312,43
20200805;19;268,81;268,81;268,81;329,47;372,84
20200805;20;271,35;271,35;271,35;311,13;246,39
20200805;21;271,43;271,43;271,43;185,09;156,25
20200805;22;197,06;197,06;197,06;523,75;513,43
20200805;23;196,94;196,94;196,94;729,13;581,63
20200805;24;196,82;196,82;196,82;928,10;981,57
20200806;1;193,41;193,41;193,41;1054,32;988,99
20200806;2;193,42;193,42;193,42;948,16;894,60
20200806;3;193,43;193,43;193,43;878,18;889,60
20200806;4;193,43;193,43;193,43;883,86;932,40
20200806;5;193,45;193,45;193,45;849,78;826,15
