Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20190301;1;180,03;180,03;180,03;1495,84;1495,84
20190301;2;180,15;180,15;180,15;1382,85;1382,85
20190301;3;180,15;180,15;180,15;1365,39;1365,39
20190301;4;180,27;180,27;180,27;1223,55;1223,55
20190301;5;183,00;183,00;183,00;1053,94;1053,94
20190301;6;183,00;183,00;183,00;739,76;739,76
20190301;7;187,37;187,37;187,37;632,64;634,64
20190301;8;187,61;187,61;187,61;604,06;606,06
20190301;9;203,00;203,00;203,00;571,74;598,74
20190301;10;213,00;213,00;213,00;212,06;252,06
20190301;11;204,89;204,89;204,89;378,57;424,57
20190301;12;204,89;204,89;204,89;351,67;396,55
20190301;13;229,39;229,39;229,39;-3,98;90,58
20190301;14;213,00;213,00;213,00;91,19;158,63
20190301;15;203,00;203,00;203,00;236,79;244,57
20190301;16;201,75;201,75;201,75;352,00;354,11
20190301;17;200,08;200,08;200,08;504,30;507,30
20190301;18;200,32;200,32;200,32;816,85;842,05
20190301;19;203,00;203,00;203,00;635,46;678,46
20190301;20;203,00;203,00;203,00;612,12;683,12
20190301;21;200,08;200,08;200,08;827,00;877,00
20190301;22;187,25;187,25;187,25;861,78;891,78
20190301;23;187,61;187,61;187,61;494,19;494,19
20190301;24;186,91;186,91;186,91;820,77;820,77
20190302;1;222,00;222,00;222,00;538,46;538,46
20190302;2;197,64;197,64;197,64;621,51;621,51
20190302;3;197,64;197,64;197,64;592,73;592,73
20190302;4;197,64;197,64;197,64;583,14;583,14
20190302;5;160,91;160,91;160,91;690,80;690,80
20190302;6;160,91;160,91;160,91;821,01;821,01
20190302;7;75,00;75,00;75,00;824,70;824,70
20190302;8;204,00;204,00;204,00;495,35;495,35
20190302;9;255,00;255,00;255,00;297,31;317,31
20190302;10;255,00;255,00;255,00;191,64;231,64
20190302;11;255,00;255,00;255,00;175,26;215,26
20190302;12;255,00;255,00;255,00;147,95;187,95
20190302;13;255,00;255,00;255,00;203,46;263,46
20190302;14;255,00;255,00;255,00;208,71;238,71
20190302;15;255,00;255,00;255,00;175,72;175,72
20190302;16;255,00;255,00;255,00;101,68;101,68
20190302;17;255,00;255,00;255,00;-140,92;-140,92
20190302;18;255,00;255,00;255,00;188,22;208,22
20190302;19;255,00;255,00;255,00;156,36;196,36
