Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20201001;1;242,93;242,93;242,93;-720,83;-764,82
20201001;2;242,96;242,96;242,96;-713,47;-851,99
20201001;3;244,79;244,79;244,79;-913,63;-995,72
20201001;4;244,78;244,78;244,78;-880,70;-898,37
20201001;5;244,71;244,71;244,71;-851,41;-841,17
20201001;6;242,96;242,96;242,96;-712,61;-653,71
20201001;7;285,89;285,89;285,89;-830,58;-692,29
20201001;8;334,11;334,11;334,11;-617,84;-567,97
20201001;9;334,70;334,70;334,70;-858,37;-730,33
20201001;10;343,23;343,23;343,23;-1031,12;-906,01
20201001;11;350,61;350,61;350,61;-1025,73;-886,37
20201001;12;336,30;336,30;336,30;-1198,16;-1044,73
20201001;13;334,70;334,70;334,70;-1082,51;-920,30
20201001;14;334,70;334,70;334,70;-685,71;-546,06
20201001;15;334,73;334,73;334,73;-1016,99;-863,36
20201001;16;334,15;334,15;334,15;-945,00;-688,11
20201001;17;334,18;334,18;334,18;-777,82;-556,77
20201001;18;334,18;334,18;334,18;-768,56;-635,33
20201001;19;334,15;334,15;334,15;-936,39;-702,95
20201001;20;255,31;255,31;255,31;-673,87;-481,96
20201001;21;334,18;334,18;334,18;-546,54;-310,28
20201001;22;263,38;263,38;263,38;-176,95;-183,61
20201001;23;242,95;242,95;242,95;-488,43;-619,18
20201001;24;242,87;242,87;242,87;-293,05;-254,20
20201002;1;186,11;186,11;186,11;-240,12;-234,57
20201002;2;199,96;199,96;199,96;-222,44;-254,19
20201002;3;199,80;199,80;199,80;-274,31;-299,46
20201002;4;193,85;193,85;193,85;-230,30;-284,44
20201002;5;180,19;180,19;180,19;-264,70;-316,70
20201002;6;191,63;191,63;191,63;-300,91;-203,85
20201002;7;285,64;285,64;285,64;-879,60;-735,83
20201002;8;332,71;332,71;332,71;-405,43;-344,29
20201002;9;333,38;333,38;333,38;-569,61;-627,32
20201002;10;332,55;332,55;332,55;-651,89;-674,92
20201002;11;332,44;332,44;332,44;-740,70;-738,20
20201002;12;332,71;332,71;332,71;-705,36;-649,27
20201002;13;332,74;332,74;332,74;-946,93;-766,48
20201002;14;333,41;333,41;333,41;-867,13;-668,55
20201002;15;310,89;310,89;310,89;-156,55;-160,68
20201002;16;330,99;330,99;330,99;-269,94;7,71
20201002;17;332,71;332,71;332,71;-204,77;-21,58
20201002;18;250,91;250,91;250,91;28,37;140,03
20201002;19;225,60;225,60;225,60;248,44;366,12
20201002;20;233,12;233,12;233,12;181,14;298,47
20201002;21;230,79;230,79;230,79;708,81;865,96
20201002;22;180,18;180,18;180,18;990,66;1127,35
20201002;23;186,11;186,11;186,11;383,67;427,85
20201002;24;180,18;180,18;180,18;572,93;485,98
20201003;1;211,89;211,89;211,89;-548,23;-638,09
20201003;2;200,33;200,33;200,33;-456,07;-515,57
20201003;3;200,32;200,32;200,32;-367,73;-343,15
20201003;4;200,29;200,29;200,29;-201,57;-239,39
20201003;5;200,27;200,27;200,27;-66,21;-118,86
20201003;6;200,26;200,26;200,26;-106,84;-156,27
20201003;7;200,32;200,32;200,32;-210,90;-168,33
20201003;8;200,34;200,34;200,34;-300,87;-141,69
20201003;9;227,76;227,76;227,76;-115,24;-69,26
20201003;10;227,76;227,76;227,76;-60,45;-51,05
20201003;11;227,76;227,76;227,76;-35,66;168,26
20201003;12;211,89;211,89;211,89;-25,42;226,46
20201003;13;186,61;186,61;186,61;106,39;183,09
20201003;14;194,74;194,74;194,74;197,08;123,13
20201003;15;218,98;218,98;218,98;-183,07;-185,99
20201003;16;227,76;227,76;227,76;-489,31;-400,86
20201003;17;250,77;250,77;250,77;-687,91;-623,69
20201003;18;250,82;250,82;250,82;-844,91;-650,18
20201003;19;250,86;250,86;250,86;-639,79;-776,34
20201003;20;250,86;250,86;250,86;-503,46;-556,41
20201003;21;227,76;227,76;227,76;202,28;-103,75
20201003;22;250,81;250,81;250,81;-46,83;-130,16
20201003;23;218,89;218,89;218,89;-136,94;-387,60
20201003;24;211,89;211,89;211,89;-85,68;-439,62
20201004;1;198,66;198,66;198,66;-10,50;-234,53
20201004;2;198,61;198,61;198,61;-75,50;-111,08
20201004;3;198,58;198,58;198,58;26,15;-50,46
20201004;4;192,58;192,58;192,58;97,16;11,31
20201004;5;198,60;198,60;198,60;-21,18;-206,68
20201004;6;198,61;198,61;198,61;-137,93;-379,62
20201004;7;198,65;198,65;198,65;-286,25;-479,56
20201004;8;219,89;219,89;219,89;-232,74;-238,47
20201004;9;241,20;241,20;241,20;-269,27;-407,02
20201004;10;248,93;248,93;248,93;-406,68;-686,86
20201004;11;248,95;248,95;248,95;-1146,31;-1605,14
20201004;12;275,91;275,91;275,91;-1540,07;-1639,00
20201004;13;249,02;249,02;249,02;-1125,60;-1128,66
20201004;14;248,96;248,96;248,96;-876,53;-900,58
20201004;15;248,93;248,93;248,93;-795,02;-812,13
20201004;16;241,20;241,20;241,20;-197,76;-147,65
20201004;17;198,66;198,66;198,66;-36,44;101,36
20201004;18;231,77;231,77;231,77;192,85;285,47
20201004;19;184,93;184,93;184,93;533,15;585,39
20201004;20;255,54;255,54;255,54;198,10;467,35
20201004;21;211,89;211,89;211,89;612,38;593,36
20201004;22;184,93;184,93;184,93;658,17;677,26
20201004;23;198,66;198,66;198,66;99,71;-10,99
20201004;24;199,79;199,79;199,79;-256,46;-191,81
