Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-08-01;1;15720,613;9447,650;-6,488;0,000;3999,825;1412,438;869,113
2020-08-01;2;15023,150;9477,875;-9,888;0,000;3871,938;924,138;756,625
2020-08-01;3;14588,900;9431,713;-10,513;0,000;3831,650;710,238;622,438
2020-08-01;4;14394,000;9525,725;-85,700;0,000;3705,025;646,550;603,288
2020-08-01;5;14237,838;9726,800;-203,625;0,000;3600,875;561,363;553,275
2020-08-01;6;13839,150;9578,775;-203,813;0,000;3565,500;363,200;539,688
2020-08-01;7;14608,925;10037,950;-81,825;0,000;3472,025;405,675;777,500
2020-08-01;8;15902,013;10726,088;-8,463;0,000;3629,000;678,475;876,600
2020-08-01;9;17117,775;11181,038;-6,600;0,000;3882,113;907,325;1159,675
2020-08-01;10;18022,825;11435,513;-6,725;0,000;4214,338;1109,600;1271,425
2020-08-01;11;18269,750;11592,000;-6,775;0,000;4470,050;937,300;1275,663
2020-08-01;12;18378,463;11507,738;11,138;0,000;4691,775;903,450;1275,000
2020-08-01;13;18266,538;11383,025;-4,325;0,000;4806,950;806,525;1276,025
2020-08-01;14;18035,900;11051,188;-6,950;0,000;4805,588;911,700;1275,563
2020-08-01;15;17499,563;10726,638;-6,613;0,000;4664,675;845,825;1272,025
2020-08-01;16;17261,325;10627,750;-6,450;0,000;4508,813;854,925;1276,013
2020-08-01;17;17000,938;10479,650;-6,700;0,000;4233,838;1014,513;1275,013
2020-08-01;18;16814,988;10543,263;-6,600;0,000;3944,188;1054,513;1275,175
2020-08-01;19;16946,688;10482,613;-6,625;0,000;3675,225;1520,600;1275,875
2020-08-01;20;17000,988;10735,125;64,250;0,000;3499,563;1498,100;1275,663
2020-08-01;21;17263,650;10902,200;74,563;0,000;3594,363;1496,725;1277,363
2020-08-01;22;17329,463;10644,600;3,688;0,000;3876,713;1564,350;1248,538
2020-08-01;23;16277,963;9775,575;-8,088;0,000;4121,038;1564,100;831,688
2020-08-01;24;15010,138;8337,563;-8,950;0,000;4423,838;1268,475;993,763
2020-08-02;1;13882,000;7737,613;-8,875;0,000;4433,563;703,888;1015,700
2020-08-02;2;13243,613;7716,688;-10,050;0,000;4265,263;337,263;933,913
2020-08-02;3;12829,275;7915,325;-12,263;0,000;4143,150;166,375;617,063
2020-08-02;4;12677,125;8549,325;-12,550;0,000;3978,813;-71,225;232,675
2020-08-02;5;12442,538;8508,325;-12,650;0,000;3867,400;-116,463;195,363
2020-08-02;6;11949,625;8174,188;-12,475;0,000;3825,438;-245,275;212,213
2020-08-02;7;12333,350;7752,425;-12,725;0,000;3852,200;193,088;551,725
2020-08-02;8;13289,375;7923,513;-12,113;0,000;3885,313;701,675;794,488
2020-08-02;9;14160,250;8347,888;-9,975;0,000;3865,938;918,450;1042,563
2020-08-02;10;14932,475;8674,175;-8,063;0,000;3993,063;1019,275;1256,475
2020-08-02;11;15344,600;9037,938;-6,625;0,000;4073,150;985,500;1254,875
2020-08-02;12;15569,600;8905,375;64,675;0,000;4190,225;1255,163;1219,038
2020-08-02;13;15542,375;8965,425;3,675;0,000;4230,988;1117,488;1235,525
2020-08-02;14;15516,400;8988,750;136,625;0,000;4181,500;1087,075;1265,713
2020-08-02;15;15194,925;8859,163;153,188;0,000;4123,038;955,213;1273,725
2020-08-02;16;14976,213;9004,775;133,800;0,000;3884,700;830,713;1273,613
2020-08-02;17;14946,413;9193,713;18,200;0,000;3634,125;851,300;1273,513
2020-08-02;18;15166,263;9729,050;48,275;0,000;3390,238;781,438;1272,713
2020-08-02;19;15510,813;10136,863;48,288;0,000;3253,100;869,738;1256,850
2020-08-02;20;15945,650;10493,200;114,050;0,000;3242,813;946,413;1268,688
2020-08-02;21;16472,888;10551,638;147,475;0,000;3278,388;1382,513;1266,950
2020-08-02;22;16802,675;10552,625;255,438;0,000;3453,925;1526,550;1276,613
2020-08-02;23;15980,138;9607,875;10,313;0,000;3531,100;1577,125;1276,050
2020-08-02;24;14861,975;8578,313;-7,150;0,000;3631,463;1424,813;1243,238
2020-08-03;1;13937,775;8710,213;-11,950;0,000;3716,188;693,938;832,275
2020-08-03;2;13571,063;8885,300;-88,513;0,000;3751,938;365,363;658,700
2020-08-03;3;13383,900;9308,288;-325,450;0,000;3767,625;269,500;362,825
2020-08-03;4;13406,388;9476,225;-468,938;0,000;3724,613;329,438;346,238
2020-08-03;5;13443,688;9652,363;-542,663;0,000;3612,950;334,025;390,000
2020-08-03;6;13718,375;10475,525;-464,925;0,000;3546,575;-106,113;271,313
2020-08-03;7;16169,388;12092,063;-48,450;0,000;3662,913;187,463;276,750
2020-08-03;8;18445,475;13828,750;-5,825;0,000;3705,050;495,300;422,750
2020-08-03;9;19790,013;14485,263;75,288;0,000;3711,625;892,938;704,013
2020-08-03;10;20651,175;14744,613;175,375;0,000;3940,288;1011,763;954,875
2020-08-03;11;20951,888;14685,013;14,388;0,000;4105,525;1065,288;1102,975
2020-08-03;12;21358,000;15045,763;16,513;0,000;4189,663;963,300;1165,788
2020-08-03;13;21644,700;15195,375;52,150;0,000;4264,063;1048,763;1136,775
2020-08-03;14;21550,963;15131,575;3,875;0,000;4181,963;1038,400;1199,025
2020-08-03;15;21167,488;14912,488;-3,450;0,000;3973,975;1039,113;1247,350
2020-08-03;16;20924,900;14766,375;-3,375;0,000;3856,238;1034,338;1273,975
2020-08-03;17;20488,600;14523,538;-3,675;0,000;3735,638;956,738;1275,650
2020-08-03;18;20116,150;14208,288;-3,525;0,000;3644,313;996,938;1275,038
