Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2019-05-01;1;15681,225;9805,650;-14,763;16,400;4644,463;562,450;678,975
2019-05-01;2;15000,013;9429,038;-16,250;34,625;4445,488;467,188;672,313
2019-05-01;3;14538,175;9235,188;-178,700;52,488;4383,625;434,050;663,575
2019-05-01;4;14483,663;9469,663;-449,825;64,388;4368,938;428,225;665,563
2019-05-01;5;14349,925;9462,613;-505,575;70,175;4415,625;310,013;669,725
2019-05-01;6;13588,375;9272,563;-769,350;70,300;4463,388;136,700;491,738
2019-05-01;7;13738,600;9146,963;-765,100;70,225;4405,813;346,263;609,888
2019-05-01;8;14598,538;9688,325;-431,838;70,138;4207,950;526,613;610,063
2019-05-01;9;15615,350;10274,888;-23,888;70,150;4054,838;698,263;618,463
2019-05-01;10;16357,225;10881,450;38,588;69,963;4100,513;758,063;627,450
2019-05-01;11;16581,813;10873,650;233,000;70,300;4331,575;744,375;649,400
2019-05-01;12;16628,338;10534,925;414,375;70,100;4601,663;849,750;647,713
2019-05-01;13;16536,263;10606,350;417,175;70,013;4638,963;650,675;643,700
2019-05-01;14;16390,125;10477,750;837,275;70,013;4803,800;476,588;642,013
2019-05-01;15;16034,075;9875,463;844,025;70,125;4955,675;585,188;641,650
2019-05-01;16;15635,188;9479,763;781,675;70,288;5074,575;444,963;648,825
2019-05-01;17;15637,563;9014,963;302,825;70,075;5408,525;565,625;650,200
2019-05-01;18;15604,550;8931,525;52,088;70,313;5576,013;450,988;646,075
2019-05-01;19;15817,300;9116,313;49,800;70,363;5576,275;505,238;629,225
2019-05-01;20;16190,950;9690,550;49,088;70,050;5517,650;357,738;626,150
2019-05-01;21;17245,813;10475,863;92,325;70,175;5769,713;362,850;643,663
2019-05-01;22;17029,238;10207,638;47,000;70,275;5867,338;340,000;624,825
2019-05-01;23;16041,025;9433,988;-2,563;70,100;5946,400;79,775;595,150
2019-05-01;24;15022,638;8484,913;-6,513;70,075;6199,363;42,550;317,150
2019-05-02;1;14218,875;8267,188;-176,438;70,288;6295,050;-213,613;58,850
2019-05-02;2;13733,813;8197,788;-609,650;70,400;6515,638;-412,600;45,863
2019-05-02;3;13519,150;8116,700;-719,613;70,263;6749,775;-672,175;46,188
2019-05-02;4;13509,813;8021,050;-802,788;70,163;6907,138;-661,788;48,250
2019-05-02;5;13588,600;8108,450;-801,225;70,400;6903,488;-677,538;58,950
2019-05-02;6;13447,650;8090,338;-739,288;70,125;6967,300;-921,850;58,588
2019-05-02;7;14699,838;8952,575;-565,913;85,675;6967,713;-690,713;39,800
2019-05-02;8;16010,413;9295,400;-80,188;100,188;7345,238;-611,475;68,463
2019-05-02;9;17095,563;9577,950;-41,750;100,175;7902,788;-611,038;294,288
2019-05-02;10;17642,063;9502,200;72,763;100,088;8220,488;-393,338;324,588
2019-05-02;11;17712,700;9289,000;105,738;100,213;8325,688;-212,525;323,363
2019-05-02;12;17767,950;9195,263;109,138;100,113;8460,088;-179,838;301,700
2019-05-02;13;17838,963;9217,775;82,825;100,175;8548,375;-227,350;310,975
2019-05-02;14;17863,300;9363,350;78,750;100,225;8449,600;-253,713;305,588
2019-05-02;15;17620,663;9178,800;7,425;100,188;8394,638;-248,400;305,613
2019-05-02;16;17502,763;9078,013;-4,775;100,113;8362,563;-237,713;305,875
2019-05-02;17;17309,175;8929,050;61,313;100,213;8232,425;-134,238;295,800
2019-05-02;18;17141,025;9004,800;265,888;100,188;8010,688;-153,675;283,225
2019-05-02;19;17041,200;9347,125;271,388;100,188;7565,450;61,700;75,113
2019-05-02;20;17372,725;10239,263;412,600;100,063;7225,675;-181,275;94,688
2019-05-02;21;18199,638;11172,725;494,913;100,125;7030,875;-218,313;223,313
2019-05-02;22;17870,650;10768,788;412,363;98,963;6809,350;33,450;268,325
2019-05-02;23;16717,313;9654,663;62,538;74,038;6891,375;57,563;131,563
2019-05-02;24;15452,550;8512,850;-9,925;70,275;6890,800;19,788;47,263
2019-05-03;1;14354,050;7757,200;-34,188;70,238;6557,375;16,113;59,925
2019-05-03;2;13697,788;7495,188;-273,100;70,188;6395,863;20,863;61,325
2019-05-03;3;13351,563;7396,788;-462,550;70,150;6345,650;15,900;58,375
2019-05-03;4;13279,888;7323,350;-479,075;70,238;6379,988;6,700;52,688
2019-05-03;5;13164,463;7465,775;-776,550;70,163;6474,975;-29,163;36,175
2019-05-03;6;12685,788;7902,050;-705,988;70,150;6173,213;-496,925;-184,788
2019-05-03;7;13011,113;8341,625;-353,288;70,150;5837,775;-785,950;-26,700
2019-05-03;8;13725,863;8729,050;-87,425;70,275;5680,450;-664,063;68,738
2019-05-03;9;14646,863;9073,850;42,813;70,388;5839,688;-661,413;410,925
2019-05-03;10;15364,613;9073,113;29,450;70,188;5662,775;54,550;653,750
2019-05-03;11;15798,188;9396,363;101,550;70,338;5600,288;23,625;789,650
2019-05-03;12;15914,713;9669,125;74,425;70,125;5442,950;34,063;786,913
2019-05-03;13;16045,438;9867,100;18,700;70,113;5414,563;-12,525;792,638
2019-05-03;14;16041,238;9837,275;14,038;70,175;5438,063;-13,913;787,500
2019-05-03;15;15702,513;9329,575;-3,613;70,225;5458,550;175,688;746,475
2019-05-03;16;15396,325;9375,600;-6,338;70,013;5538,813;115,113;378,000
2019-05-03;17;15152,838;9325,725;-8,163;70,150;5330,688;113,063;395,725
2019-05-03;18;15193,700;9043,150;-6,675;70,238;5337,063;212,163;609,463
2019-05-03;19;15376,225;9398,438;73,175;70,275;5016,825;324,300;647,625
2019-05-03;20;15784,163;9850,363;294,525;70,050;4939,350;349,125;655,288
2019-05-03;21;16485,188;10506,325;538,013;70,075;4824,475;514,100;647,313
2019-05-03;22;16452,525;10413,013;663,338;70,200;4825,075;565,788;663,763
2019-05-03;23;15669,563;9649,825;146,238;70,088;4835,375;497,600;699,138
2019-05-03;24;14667,263;8518,563;-9,438;70,438;4966,263;537,750;657,450
2019-05-04;1;13828,925;7948,463;-9,538;70,088;5236,813;221,100;435,063
2019-05-04;2;13370,550;7839,113;-9,813;70,150;5440,413;-49,925;152,788
2019-05-04;3;13137,938;7713,463;-62,863;70,213;5417,838;-65,800;136,550
2019-05-04;4;13021,500;7892,838;-325,375;70,138;5414,388;-88,713;129,488
2019-05-04;5;13072,850;7908,075;-346,675;70,213;5502,663;-110,138;119,500
2019-05-04;6;12752,488;7622,375;-346,188;70,175;5440,713;-0,413;41,838
2019-05-04;7;13752,425;8232,313;-330,200;70,238;5269,713;211,638;379,913
2019-05-04;8;14931,600;9252,250;-185,050;70,300;4947,600;326,000;598,938
2019-05-04;9;16102,613;10269,888;20,488;70,163;4902,375;472,763;471,488
2019-05-04;10;16883,500;10741,913;94,763;70,200;5074,888;462,475;609,363
2019-05-04;11;17163,175;10819,013;104,875;61,475;5265,050;457,400;630,463
2019-05-04;12;17312,738;10791,025;106,063;0,000;5366,225;546,975;617,150
2019-05-04;13;17228,313;10894,150;51,838;0,000;5202,938;530,650;616,675
2019-05-04;14;17257,825;11197,038;18,713;0,000;4973,875;490,163;613,400
2019-05-04;15;16978,238;11115,800;-4,150;0,000;4699,475;554,013;619,000
2019-05-04;16;16772,988;11113,288;-7,738;0,000;4559,013;484,900;629,725
2019-05-04;17;16660,650;10856,388;-7,525;0,000;4559,650;629,713;624,875
2019-05-04;18;16476,713;10654,000;-6,463;0,000;4561,700;651,963;619,113
2019-05-04;19;16630,950;10746,875;-6,313;0,000;4605,138;665,088;622,700
2019-05-04;20;16947,013;10991,425;391,350;0,000;4742,238;586,950;629,738
2019-05-04;21;17611,750;11413,350;572,375;0,000;4995,088;586,300;623,650
2019-05-04;22;17363,750;11206,413;368,738;0,000;4948,313;598,938;633,350
2019-05-04;23;16307,388;10073,375;53,213;0,000;4941,688;598,175;718,850
2019-05-04;24;15163,700;9001,900;-9,675;0,000;4912,963;553,600;718,475
2019-05-05;1;14131,150;8610,975;-10,538;0,000;4752,188;264,950;518,525
2019-05-05;2;13563,950;8666,263;-61,188;0,000;4684,350;132,750;143,113
2019-05-05;3;13290,475;8691,838;-172,525;0,000;4634,913;90,913;46,088
2019-05-05;4;13095,463;8755,050;-348,813;0,000;4607,913;48,000;33,100
2019-05-05;5;12936,413;8682,475;-400,463;0,000;4628,788;-15,738;39,463
2019-05-05;6;12554,575;8377,825;-484,500;0,000;4621,200;3,163;42,525
2019-05-05;7;12917,913;8686,475;-416,438;0,000;4576,875;24,113;50,888
2019-05-05;8;13724,775;8795,775;-135,275;0,000;4498,375;206,900;360,613
2019-05-05;9;14455,488;8824,338;45,538;0,000;4568,863;455,975;615,863
2019-05-05;10;15371,775;9207,113;53,563;0,000;4828,463;713,363;628,125
2019-05-05;11;15825,025;9621,125;98,813;0,000;4904,713;679,463;627,100
2019-05-05;12;16060,588;9810,350;106,113;0,000;4950,913;681,938;622,213
2019-05-05;13;16146,063;9786,350;25,325;0,000;5003,850;735,713;628,138
2019-05-05;14;16120,850;9800,863;14,000;0,000;4971,675;731,913;625,825
2019-05-05;15;15775,463;9538,550;-4,025;0,000;4916,225;704,050;624,975
2019-05-05;16;15481,638;9181,688;-6,738;0,000;4925,563;764,250;618,213
2019-05-05;17;15312,225;9116,200;-6,750;0,000;4879,313;698,800;625,500
2019-05-05;18;15406,600;9320,163;-9,500;0,000;4781,188;688,800;621,113
2019-05-05;19;15827,850;9843,713;27,713;0,000;4637,075;743,038;609,538
2019-05-05;20;16325,700;10404,888;240,288;0,000;4635,050;676,025;612,575
2019-05-05;21;17038,363;10977,713;317,275;0,000;4773,300;668,038;619,450
2019-05-05;22;17021,413;10725,525;280,625;0,000;4961,275;706,375;636,463
2019-05-05;23;16181,188;9858,925;4,375;0,000;4973,238;652,788;707,563
2019-05-05;24;15031,363;8936,888;-10,250;0,000;4986,225;431,688;688,775
2019-05-06;1;14357,550;9214,475;-136,875;0,000;5119,463;63,600;98,700
2019-05-06;2;13953,813;8940,475;-263,438;0,000;5165,150;69,650;42,475
2019-05-06;3;13769,125;9032,438;-463,363;0,000;5148,175;3,000;50,463
2019-05-06;4;13850,613;9166,650;-478,425;0,000;5112,225;5,113;44,775
2019-05-06;5;14072,450;9526,900;-476,575;0,000;4967,863;3,388;50,413
2019-05-06;6;14625,963;9553,213;-441,963;0,000;4916,263;221,063;378,713
2019-05-06;7;17637,063;12089,875;49,388;0,000;4872,363;283,238;421,500
2019-05-06;8;20151,613;14974,475;112,350;0,000;4631,525;416,275;128,050
2019-05-06;9;21278,950;15674,313;17,325;0,000;4568,163;533,625;526,213
2019-05-06;10;21568,675;15803,625;129,800;0,000;4706,325;477,700;604,125
2019-05-06;11;21558,900;15453,925;92,325;0,000;4941,400;419,650;754,788
