Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2019-01-01;1;15011,513;7353,375;-11,388;86,875;8577,838;-300,363;-608,613
2019-01-01;2;14466,588;6142,913;-56,713;86,875;8759,125;-100,113;-278,350
2019-01-01;3;13773,575;5316,113;-221,925;86,800;8756,275;-46,525;-24,813
2019-01-01;4;13406,200;5173,213;-770,300;86,800;8985,838;23,550;-5,850
2019-01-01;5;13216,300;5042,863;-879,838;86,800;9113,888;-29,025;-29,213
2019-01-01;6;13126,400;5127,038;-960,838;86,800;9350,488;-16,550;-367,388
2019-01-01;7;13215,613;5086,238;-1071,263;86,875;9563,113;13,263;-372,513
2019-01-01;8;13087,738;5029,700;-1227,963;87,175;9678,100;-48,213;-329,838
2019-01-01;9;12992,963;5038,763;-1430,888;87,175;9702,875;46,788;-352,700
2019-01-01;10;13425,550;5559,438;-1085,650;87,025;9704,688;56,738;-802,138
2019-01-01;11;14082,938;5516,138;-297,525;86,875;9770,050;-98,313;-807,675
2019-01-01;12;14688,338;5819,413;-2,063;86,875;9863,988;-167,025;-819,638
2019-01-01;13;15234,813;6308,575;182,188;86,800;10091,550;-299,900;-858,538
2019-01-01;14;15708,925;6528,988;327,538;87,100;10196,163;-133,238;-866,663
2019-01-01;15;15801,488;6740,000;383,675;86,950;10199,475;-259,750;-867,313
2019-01-01;16;15845,063;6625,588;532,138;87,025;10187,238;-74,950;-883,375
2019-01-01;17;16939,900;7539,863;524,188;87,025;10292,488;-57,988;-823,763
2019-01-01;18;17255,900;7595,250;740,738;87,175;10397,900;48,688;-786,725
2019-01-01;19;17339,400;7699,688;763,725;87,100;10374,688;-26,813;-699,475
2019-01-01;20;17350,238;7646,575;873,813;86,875;10319,625;-12,150;-599,938
2019-01-01;21;16974,088;7540,275;756,700;87,100;10216,113;-34,275;-740,463
2019-01-01;22;16279,038;6957,488;404,950;86,800;10175,625;-100,650;-740,238
2019-01-01;23;15653,888;6353,175;43,200;86,950;10123,125;-81,375;-723,400
2019-01-01;24;14593,100;5464,550;-96,638;86,950;10011,850;-78,600;-696,400
2019-01-02;1;13763,438;5290,850;-798,488;86,825;9856,063;31,175;-604,300
2019-01-02;2;13467,763;5155,038;-1053,838;87,100;9828,513;28,988;-488,863
2019-01-02;3;13238,463;5082,513;-1133,613;86,950;9699,688;-12,700;-391,725
2019-01-02;4;13326,788;5497,338;-1352,738;87,325;9667,563;29,600;-508,513
2019-01-02;5;13771,863;5978,175;-1376,925;87,025;9758,500;-35,813;-549,763
2019-01-02;6;14916,875;6782,925;-1108,400;86,800;9890,850;-60,025;-583,500
2019-01-02;7;18032,325;8645,613;-144,013;87,913;10079,413;95,413;-639,288
2019-01-02;8;20340,475;10698,788;-4,000;102,025;10223,438;5,375;-569,938
2019-01-02;9;21621,738;11433,263;-4,200;86,638;10325,025;139,300;-262,425
2019-01-02;10;22396,325;12272,138;224,250;10,925;10394,663;-135,950;-120,388
2019-01-02;11;22622,413;12098,850;86,313;0,000;10439,763;285,163;-194,175
2019-01-02;12;23113,875;12471,450;332,925;0,000;10489,975;313,413;-159,538
2019-01-02;13;23221,713;12652,763;312,138;0,000;10554,388;175,100;-150,925
2019-01-02;14;23551,125;12834,525;344,238;0,000;10640,088;229,688;-152,025
2019-01-02;15;23090,375;12663,100;325,113;0,000;10693,900;-340,150;69,013
2019-01-02;16;23103,150;12975,438;357,813;0,000;10660,775;-830,038;297,588
2019-01-02;17;23936,875;13311,575;537,738;0,000;10678,000;-788,425;729,863
