Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-10-01;1;16640,113;10733,288;-117,038;0,000;4554,813;718,163;758,338
2020-10-01;2;16154,150;11104,300;-338,063;0,000;4293,338;338,613;759,488
2020-10-01;3;15906,263;11287,213;-453,850;0,000;4273,925;37,438;760,200
2020-10-01;4;15962,513;11476,238;-705,538;0,000;4323,963;110,375;756,500
2020-10-01;5;16205,800;11323,463;-703,463;0,000;4295,213;527,600;761,800
2020-10-01;6;16867,663;11172,775;-439,475;0,000;4445,463;934,075;760,975
2020-10-01;7;19316,388;13153,375;-100,513;0,000;4606,750;890,913;760,925
2020-10-01;8;21293,325;15143,238;14,500;0,000;4726,100;666,225;763,975
2020-10-01;9;22413,450;15459,625;142,438;0,000;4901,938;1278,613;768,738
2020-10-01;10;22843,888;15976,313;-7,338;0,000;4900,413;1214,613;760,025
2020-10-01;11;22759,363;16200,313;57,713;0,000;4949,888;855,175;761,475
2020-10-01;12;23090,463;16808,388;185,825;0,000;5034,363;492,375;762,025
2020-10-01;13;23207,463;17232,025;313,400;0,000;4977,150;247,163;761,600
2020-10-01;14;23039,800;16872,950;475,600;0,000;4948,338;460,813;764,488
2020-10-01;15;22681,913;16718,538;393,088;0,000;4943,200;261,825;761,450
2020-10-01;16;22394,313;16720,150;308,238;0,000;4869,763;42,413;765,750
2020-10-01;17;22251,325;16541,913;392,075;0,000;4792,750;148,838;764,050
2020-10-01;18;21948,088;15930,663;436,575;0,000;4719,313;531,700;764,788
2020-10-01;19;22644,525;15855,213;335,363;0,000;4869,113;1154,425;766,788
2020-10-01;20;23526,825;16319,125;374,750;0,000;5178,275;1255,913;762,650
2020-10-01;21;22823,813;15601,350;523,988;0,000;5351,525;1126,763;763,025
2020-10-01;22;21271,375;14358,513;283,763;0,000;5423,825;736,900;762,625
2020-10-01;23;19436,600;12674,388;214,850;0,000;5189,488;823,838;759,300
2020-10-01;24;17985,713;11279,338;7,825;0,000;5130,550;840,850;759,513
2020-10-02;1;16975,763;10991,038;-9,325;0,000;5095,288;158,125;756,200
